ti:186082060,5,876,ref|NC_072400.1|,120668442,120667572,0,1,99.885,871,872,876,0.0
ti:186754037,1,916,ref|NC_072413.1|,33797251,33796336,1,0,99.891,915,916,916,0.0
ti:186177277,3,496,ref|NC_072405.1|,133262526,133262033,4,0,99.190,490,494,496,0.0
ti:187305676,1,689,ref|NC_072405.1|,42869837,42869149,0,0,100.000,689,689,689,0.0
ti:186086616,1,815,ref|NC_072417.1|,233685,232868,6,3,98.900,809,818,815,0.0
ti:186123027,16,683,ref|NC_072400.1|,59950581,59951248,2,0,99.701,666,668,683,0.0
ti:186704345,1,701,ref|NC_072405.1|,53836218,53836918,9,2,98.433,691,702,701,0.0
ti:186805641,1,702,ref|NC_072415.1|,65494452,65495153,0,0,100.000,702,702,702,0.0
ti:187302869,1,716,ref|NC_072402.1|,23407267,23407980,4,1,99.162,710,716,716,0.0
ti:186123146,3,912,ref|NC_072406.1|,126067686,126066779,5,6,98.794,901,912,912,0.0
ti:187295718,1,697,ref|NC_072411.1|,96181121,96180424,3,1,99.427,694,698,697,0.0
ti:187288595,1,746,ref|NC_072407.1|,49225225,49225970,1,0,99.866,745,746,746,0.0
ti:186759102,1,325,ref|NC_072421.1|,17459424,17459100,0,2,99.387,324,326,325,4.67e-159
ti:187287531,1,671,ref|NC_072404.1|,116677660,116678330,0,0,100.000,671,671,671,0.0
ti:186815382,4,670,ref|NC_072401.1|,158821539,158820873,1,0,99.850,666,667,670,0.0
ti:187294229,1,729,ref|NC_072398.1|,133537701,133536972,0,1,99.863,729,730,729,0.0
ti:186180360,15,719,ref|NC_072400.1|,43731706,43732410,0,0,100.000,705,705,719,0.0
ti:182875037,14,627,ref|NC_072408.1|,46475371,46475980,2,3,99.023,608,614,627,0.0
ti:186810949,1,444,ref|NC_072408.1|,55496887,55496445,7,5,97.309,434,446,444,0.0
ti:186769182,19,842,ref|NC_072401.1|,141992,142814,1,1,99.757,822,824,842,0.0
ti:187308915,1,726,ref|NC_072402.1|,173890371,173891096,1,0,99.862,725,726,731,0.0
ti:186823528,1,748,ref|NC_072409.1|,127535853,127535106,0,0,100.000,748,748,748,0.0
ti:186728248,16,676,ref|NC_072414.1|,49931228,49930567,6,1,98.943,655,662,676,0.0
ti:186699104,1,698,ref|NC_072411.1|,44460030,44460728,10,1,98.426,688,699,698,0.0
ti:186715204,1,214,ref|NC_072403.1|,97467022,97467235,5,0,97.664,209,214,214,9.10e-97
ti:186185013,6,837,ref|NC_072400.1|,115603117,115603949,0,1,99.880,832,833,837,0.0
ti:186760480,4,928,ref|NC_072398.1|,140597117,140598041,3,0,99.676,922,925,928,0.0
ti:186746719,8,534,ref|NC_072401.1|,66892099,66892625,0,0,100.000,527,527,534,0.0
ti:186780008,1,908,ref|NC_072398.1|,11061064,11060157,3,0,99.670,905,908,908,0.0
ti:186119856,1,746,ref|NC_072406.1|,124085066,124084318,1,3,99.466,745,749,752,0.0
ti:186744136,14,780,ref|NW_026546119.1|,365269,366035,3,0,99.609,764,767,780,0.0
ti:187309922,1,689,ref|NC_072408.1|,110955120,110955808,0,0,100.000,689,689,689,0.0
ti:186086400,5,797,ref|NC_072419.1|,11235039,11235831,6,0,99.243,787,793,797,0.0
ti:186766664,6,842,ref|NC_072404.1|,54135410,54136246,3,0,99.642,834,837,842,0.0
ti:186770604,1,858,ref|NC_072402.1|,117046826,117045969,0,0,100.000,858,858,858,0.0
ti:186858693,1,861,ref|NC_072410.1|,56370519,56371379,0,0,100.000,861,861,861,0.0
ti:187308431,1,658,ref|NC_072404.1|,136802402,136801744,1,1,99.697,657,659,680,0.0
ti:186765412,22,631,ref|NC_072406.1|,61134849,61134240,3,0,99.508,607,610,631,0.0
ti:186843811,1,147,ref|NC_072407.1|,108925785,108925642,3,3,95.918,141,147,147,1.94e-57
ti:186749452,1,666,ref|NC_072419.1|,27944188,27943524,11,1,98.198,654,666,666,0.0
ti:186784199,1,545,ref|NC_072409.1|,59570195,59569652,0,1,99.817,544,545,545,0.0
ti:182877244,1,600,ref|NC_072406.1|,111039749,111040347,9,1,98.333,590,600,600,0.0
ti:186840994,9,637,ref|NC_072405.1|,93777654,93778281,4,1,99.205,624,629,637,0.0
ti:182874829,1,669,ref|NC_072408.1|,46485953,46486621,0,0,100.000,669,669,669,0.0
ti:186778659,17,275,ref|NC_072398.1|,138435249,138434991,0,0,100.000,259,259,275,1.27e-127
ti:186079709,1,862,ref|NC_072403.1|,65719099,65719960,20,0,97.680,842,862,862,0.0
ti:187293206,1,675,ref|NC_072414.1|,55778688,55779363,5,1,99.112,670,676,675,0.0
ti:180025987,1,728,ref|NC_072405.1|,20201955,20201228,1,0,99.863,727,728,728,0.0
ti:187293454,1,649,ref|NC_072404.1|,125835133,125834486,1,1,99.692,647,649,649,0.0
ti:186799884,3,804,ref|NC_072399.1|,21431802,21431001,0,0,100.000,802,802,804,0.0
ti:186825948,1,724,ref|NC_072406.1|,37340331,37341055,4,1,99.310,720,725,724,0.0
ti:187291400,2,668,ref|NC_072404.1|,31725531,31724865,1,0,99.850,666,667,668,0.0
ti:186819950,21,684,ref|NC_072411.1|,37141636,37142299,1,0,99.849,663,664,684,0.0
ti:186729337,10,822,ref|NC_072401.1|,22388607,22389418,3,1,99.508,809,813,822,0.0
ti:186796384,1,660,ref|NC_072398.1|,76260155,76259497,1,1,99.697,658,660,660,0.0
ti:182877041,14,668,ref|NC_072406.1|,111033317,111033972,0,1,99.848,655,656,668,0.0
ti:182878748,21,654,ref|NC_072406.1|,110981753,110981123,0,2,99.527,631,634,654,0.0
ti:186756387,1,725,ref|NC_072400.1|,69454171,69454897,5,1,99.037,720,727,725,0.0
ti:186117031,12,757,ref|NC_072422.1|,11696675,11695930,1,0,99.866,745,746,757,0.0
ti:186786515,8,924,ref|NC_072411.1|,111461207,111460290,5,1,99.346,912,918,924,0.0
